year,global_primary_energy_TW,coal_TW,oil_TW,gas_TW,nuclear_TW,hydro_TW,wind_TW,solar_TW,world_gdp_2011_USD,kardashev_K,energy_observed,gdp_observed,country_n,data_status,dKdt,dKdt_roll10,dKdt_zscore,e_aii_global
1871,0.991404109589041,0.1977168949771689,0.0009931506849315,0.0,0.0,0.0,0.0,0.0,891261334091.0999,0.5996250714819429,False,True,25.0,partial,0.0004635810969245,0.0003859384583492,-0.3713010565965378,0.0008133607337769301
1872,1.0019863013698629,0.2079908675799086,0.0013013698630136,0.0,0.0,0.0,0.0,0.0,923311748823.2368,0.6000861784125892,False,True,25.0,partial,0.0004586847517,0.0003994427961201,-0.3807233728760668,0.0008477113689555605
1873,1.0125684931506849,0.2182648401826484,0.0016095890410958,0.0,0.0,0.0,0.0,0.0,943174079407.4694,0.6005424409853429,False,True,25.0,partial,0.0004538907596189,0.0004127184013859,-0.3899487251659947,0.0008813440181180116
1874,1.0231506849315068,0.2285388127853881,0.001917808219178,0.0,0.0,0.0,0.0,0.0,1028968928010.5562,0.600993959931827,False,True,26.0,partial,0.0004491959443821,0.0004257710972522,-0.3989832257997999,0.0009142809591139607
1875,1.0337328767123286,0.2388127853881278,0.0022260273972602,0.0,0.0,0.0,0.0,0.0,999492217430.0022,0.6014408328741073,False,True,25.0,partial,0.0004445972597754,0.0004386065088634,-0.4078327367815157,0.0009465435575710502
1876,1.0443150684931506,0.2490867579908676,0.0025342465753424,0.0,0.0,0.0,0.0,0.0,994588638012.7812,0.6018831544513779,False,True,25.0,partial,0.0004400917830763,0.0004475189888162,-0.4165028824721695,0.0009781523131132553
1877,1.0548972602739726,0.2593607305936073,0.0028424657534246,0.0,0.0,0.0,0.0,0.0,1017661045702.806,0.60232101644026,False,True,25.0,partial,0.0004356767088602,0.0004525590753466,-0.4249990615105116,0.0010091269027974242
1878,1.0654794520547946,0.2696347031963471,0.0031506849315068,0.0,0.0,0.0,0.0,0.0,1038709456909.7268,0.6027545078690985,False,True,25.0,partial,0.0004313493431734,0.0004574875927522,-0.4333264580254005,0.0010394862219613818
1879,1.0760616438356163,0.2799086757990868,0.003458904109589,0.0,0.0,0.0,0.0,0.0,1058886143536.3892,0.603183715126607,False,True,25.0,partial,0.0004271070980504,0.000462308208261,-0.4414900521860961,0.0010692484226617856
1880,1.0866438356164383,0.2901826484018265,0.0037671232876712,0.0,0.0,0.0,0.0,0.0,1129603158419.1875,0.6036087220651994,True,True,25.0,complete,0.0004710151426006,0.0004670244299878,-0.3569952986517079,0.001098430949866039
1881,1.0996575342465753,0.3051826484018265,0.0044063926940639,0.0003767123287671,0.0,0.0001598173515981,0.0,0.0,1168068272699.3977,0.6041257454118083,False,True,25.0,partial,0.0005139819622285,0.0004716396154783,-0.2743117978989722,0.0011782564844026917
1882,1.1126712328767123,0.3201826484018265,0.0050456621004566,0.0007534246575342,0.0,0.0003196347031963,0.0,0.0,1209112829772.8684,0.6046366859896566,False,True,25.0,partial,0.0005079699257561,0.0004761569797075,-0.2858811024575709,0.0012562147549735796
1883,1.1256849315068491,0.3351826484018265,0.0056849315068493,0.0011301369863013,0.0,0.0004794520547945,0.0,0.0,1236952247176.9854,0.6051416852633207,False,True,25.0,partial,0.0005020969147069,0.0004805796025742,-0.2971828724678558,0.0013323705221786669
1884,1.1386986301369864,0.3501826484018265,0.006324200913242,0.0015068493150684,0.0,0.0006392694063926,0.0,0.0,1488902516159.7188,0.6056408798190706,False,True,26.0,partial,0.0004963581616505,0.000484910435926,-0.3082262821680565,0.001406785586133347
1885,1.1517123287671232,0.3651826484018264,0.0069634703196347,0.0018835616438356,0.0,0.0007990867579908,0.0,0.0,1569887596480.4463,0.6061344015866217,False,True,27.0,partial,0.0004907491146798,0.0004891523101513,-0.3190200910520531,0.0014795189537274815
1886,1.1647260273972602,0.3801826484018265,0.0076027397260273,0.0022602739726027,0.0,0.000958904109589,0.0,0.0,1592248032117.9182,0.6066223780484303,False,True,27.0,partial,0.0004852654253689,0.0004945799568813,-0.3295726670443649,0.00155062699467146
1887,1.1777397260273972,0.3951826484018265,0.00824200913242,0.0026369863013698,0.0,0.0011187214611872,0.0,0.0,1991721219403.796,0.6071049324373595,False,True,28.0,partial,0.0004799029375268,0.0005011543835169,-0.3398920081398748,0.001620163587196788
1888,1.1907534246575342,0.4101826484018265,0.0088812785388127,0.0030136986301369,0.0,0.0012785388127853,0.0,0.0,1669655927781.191,0.607582183923484,False,True,27.0,partial,0.0004746576766914,0.0005075663049948,-0.349985762622591,0.0016881802542024317
1889,1.2037671232876712,0.4251826484018264,0.0095205479452054,0.0033904109589041,0.0,0.0014383561643835,0.0,0.0,1714730856021.9688,0.6080542477907425,False,True,27.0,partial,0.0004695258403034,0.0005138216798701,-0.3598612479744343,0.0017547262905701266
1890,1.2167808219178082,0.4401826484018264,0.0101598173515981,0.0037671232876712,0.0,0.0015981735159817,0.0,0.0,2439288281104.028,0.6085212356040909,True,True,40.0,complete,0.0005252916099008,0.0005199261785792,-0.2525479980663165,0.0018198488823096294
1891,1.23324200913242,0.4615525114155251,0.0112100456621004,0.00412100456621,0.0,0.0016324200913242,0.0,0.0,1755379986223.3457,0.6091048310105442,False,True,27.0,partial,0.0005797262285839,0.000525885200665,-0.1477963577578893,0.0018935116985086772
1892,1.249703196347032,0.4829223744292237,0.0122602739726027,0.0044748858447488,0.0,0.0016666666666666,0.0,0.0,1831626029290.516,0.6096806880612589,False,True,27.0,partial,0.0005720891405352,0.0005317038907803,-0.1624928417167968,0.0019652339300765017
1893,1.2661643835616438,0.5042922374429224,0.013310502283105,0.0048287671232876,0.0,0.0017009132420091,0.0,0.0,1828684347562.8296,0.6102490092916147,False,True,27.0,partial,0.0005646506634606,0.0005373871535684,-0.1768071272543583,0.0020350912646426213
1894,1.2826255707762555,0.525662100456621,0.0143607305936073,0.0051826484018264,0.0,0.0017351598173515,0.0,0.0,1864405397331.3823,0.6108099893881802,False,True,27.0,partial,0.0005574031487411,0.0005429396675123,-0.1907539330443373,0.002103155504343318
1895,1.2990867579908676,0.5470319634703197,0.0154109589041095,0.0055365296803652,0.0,0.001769406392694,0.0,0.0,1958952104177.444,0.6113638155890971,False,True,28.0,partial,0.0005503393355377,0.0005483658978346,-0.2043472315333824,0.0021694948119939587
1896,1.3155479452054797,0.5684018264840183,0.0164611872146118,0.0058904109589041,0.0,0.0018036529680365,0.0,0.0,1960151150466.6555,0.6119106680592556,False,True,29.0,partial,0.0005434523265219,0.00058406210228,-0.2176002956435216,0.0022341739387794304
1897,1.3320091324200911,0.589771689497717,0.0175114155251141,0.0062442922374429,0.0,0.0018378995433789,0.0,0.0,2070110790055.213,0.6124507202421411,False,True,29.0,partial,0.0005367355654081,0.0006487454204773,-0.2305257420094165,0.0022972544350615747
1898,1.3484703196347032,0.6111415525114156,0.0185616438356164,0.0065981735159817,0.0,0.0018721461187214,0.0,0.0,2145898307141.219,0.6129841391900719,False,True,29.0,partial,0.0005301828161301,0.0007108226290958,-0.2431355710484128,0.002358794845746328
1899,1.364931506849315,0.6325114155251141,0.0196118721461187,0.0069520547945205,0.0,0.0019063926940639,0.0,0.0,2208935645806.5176,0.6135110858744014,False,True,29.0,partial,0.0005237881435264,0.0007704541219443,-0.2554412041304458,0.0024188508915139227
1900,1.381392694063927,0.6538812785388128,0.020662100456621,0.0073059360730593,0.0,0.0019406392694063,0.0,0.0,3063830824555.2856,0.6140317154771248,True,True,44.0,complete,0.0008822536543545,0.000827786968238,0.4343744161800379,0.002477475637091499
1901,1.4215296803652968,0.6873059360730595,0.0231278538812785,0.0081963470319634,0.0,0.0021232876712328,0.0,0.0,2383409478959.932,0.6152755931831105,False,True,36.0,partial,0.0012265594105574,0.0008829563052254,1.096941613350266,0.002566600945091433
1902,1.461666666666667,0.720730593607306,0.025593607305936,0.0090867579908675,0.0,0.0023059360730593,0.0,0.0,2427437019641.3013,0.6164848342982397,False,True,37.0,partial,0.00119286122672,0.0009360865559316,1.032094276898171,0.0026508315375616534
1903,1.5018036529680363,0.7541552511415526,0.0280593607305936,0.0099771689497716,0.0,0.0024885844748858,0.0,0.0,2510448213982.8223,0.6176613156365507,False,True,37.0,partial,0.001160965591946,0.0009872924975609,0.970715688380568,0.0027305598608711205
1904,1.5419406392694064,0.7875799086757991,0.0305251141552511,0.0108675799086758,0.0,0.0026712328767123,0.0,0.0,2530930797645.001,0.6188067654821318,False,True,37.0,partial,0.0011307316116776,0.0010366802018671,0.9125347163671376,0.0028061374995964946
1905,1.5820776255707762,0.8210045662100457,0.0329908675799086,0.0117579908675799,0.0,0.0028538812785388,0.0,0.0,2615939534090.545,0.619922778859906,False,True,37.0,partial,0.0011020327054117,0.0010843478653467,0.8573077747784196,0.002877880359798762
1906,1.622214611872146,0.8544292237442923,0.0354566210045662,0.012648401826484,0.0,0.0030365296803652,0.0,0.0,2786976251568.8506,0.6210108308929552,False,True,39.0,partial,0.0010747548335842,0.0010779470807658,0.8048154107795507,0.0029460730828291793
1907,1.662351598173516,0.8878538812785388,0.0379223744292237,0.0135388127853881,0.0,0.0032191780821917,0.0,0.0,2822827774268.756,0.6220722885270744,False,True,38.0,partial,0.0010487949817007,0.0010195704081736,0.7548593877056505,0.003010972819714994
1908,1.7024885844748858,0.9212785388127854,0.0403881278538812,0.0144292237442922,0.0,0.0034018264840182,0.0,0.0,2760330548196.325,0.6231084208563568,False,True,38.0,partial,0.0010240598591926,0.00096362597574,0.7072601811962957,0.003072812471647403
1909,1.7426255707762557,0.954703196347032,0.0428538812785388,0.0153196347031963,0.0,0.0035844748858447,0.0,0.0,2939559126609.189,0.6241204082454598,False,True,38.0,partial,0.0010004647783222,0.0009099604882638,0.6618548218095713,0.003131803482650726
1910,1.7827625570776255,0.9881278538812786,0.0453196347031963,0.0162100456621004,0.0,0.0037671232876712,0.0,0.0,3166254860355.937,0.6251093504130013,True,True,45.0,complete,0.0008182458085452,0.0008584335935799,0.311200469097464,0.0031881382550078587
1911,1.8095433789954336,1.0015639269406391,0.0509360730593607,0.0172488584474885,0.0,0.00412100456621,0.0,0.0,3482522324724.357,0.6257568998625503,False,True,41.0,partial,0.0006427926846362,0.0008089165152498,-0.0264339806577819,0.0032405100993913778
1912,1.8363242009132417,1.015,0.0565525114155251,0.0182876712328767,0.0,0.0044748858447488,0.0,0.0,3179188159666.7554,0.6263949357822739,False,True,39.0,partial,0.0006334169023838,0.0007612908581441,-0.0444763330040346,0.0032913543692461287
1913,1.8631050228310504,1.0284360730593607,0.0621689497716895,0.0193264840182648,0.0,0.0048287671232876,0.0,0.0,4396657850163.1416,0.6270237336673181,False,True,68.0,partial,0.0006243107171832,0.0007154475615564,-0.0619998843725096,0.0033407369379945652
1914,1.8898858447488585,1.0418721461187217,0.0677853881278538,0.0203652968036529,0.0,0.0051826484018264,0.0,0.0,3092014836234.3203,0.6276435572166404,False,True,40.0,partial,0.0006154626648393,0.0006712859786991,-0.0790266959674531,0.003388719945194701
1915,1.9166666666666663,1.055308219178082,0.0734018264840182,0.021404109589041,0.0,0.0055365296803652,0.0,0.0,3112087731959.5684,0.6282546589969968,False,True,40.0,partial,0.00060686192211,0.0006287130648756,-0.0955775955707917,0.003435362057399105
1916,1.9434474885844748,1.0687442922374428,0.0790182648401826,0.0224429223744292,0.0,0.0058904109589041,0.0,0.0,3334816155241.01,0.6288572810608605,False,True,41.0,partial,0.0005984982625275,0.0005979717764906,-0.1116722625573275,0.003480718707446032
